Training Sites, Testing Sites, Accuracy, Size
1,19,0.34,6398
2,18,0.51,9188
3,17,0.59,12296
4,16,0.62,14705
5,15,0.63,16873
6,14,0.68,21977
7,13,0.69,25309
8,12,0.68,27629
9,11,0.68,27947
10,10,0.75,34736
11,9,0.72,38660
12,8,0.71,40772
13,7,0.78,44095
14,6,0.84,51548
15,5,0.85,51805
16,4,0.84,52227
17,3,0.84,54373
18,2,0.89,56130
19,1,0.94,56343
1,19,0.24,2409
2,18,0.26,2622
3,17,0.48,5730
4,16,0.58,9053
5,15,0.58,9310
6,14,0.63,15708
7,13,0.63,18192
8,12,0.64,18614
9,11,0.67,23718
10,10,0.72,27642
11,9,0.71,29788
12,8,0.69,32578
13,7,0.67,40031
14,6,0.66,42351
15,5,0.79,49140
16,4,0.78,49458
17,3,0.77,51570
18,2,0.71,53738
19,1,0.73,55495
1,19,0.35,2112
2,18,0.49,4902
3,17,0.57,8234
4,16,0.6,15023
5,15,0.63,15445
6,14,0.64,15658
7,13,0.7,20762
8,12,0.68,24686
9,11,0.7,27095
10,10,0.71,30203
11,9,0.78,33526
12,8,0.77,33844
13,7,0.78,34101
14,6,0.78,36421
15,5,0.78,42819
16,4,0.75,45303
17,3,0.77,47060
18,2,0.76,49206
19,1,0.88,56659
1,19,0.05,213
2,18,0.09,635
3,17,0.36,2781
4,16,0.53,5265
5,15,0.54,5522
6,14,0.57,8854
7,13,0.59,11962
8,12,0.63,15886
9,11,0.6,18676
10,10,0.66,21999
11,9,0.65,22317
12,8,0.69,29106
13,7,0.7,30863
14,6,0.7,33183
15,5,0.71,40636
16,4,0.71,43045
17,3,0.69,45157
18,2,0.88,50261
19,1,0.87,52429
1,19,0.35,3924
2,18,0.41,4346
3,17,0.41,4664
4,16,0.55,7148
5,15,0.56,7361
6,14,0.58,9473
7,13,0.61,16262
8,12,0.64,19370
9,11,0.65,21690
10,10,0.66,23447
11,9,0.68,26779
12,8,0.67,33177
13,7,0.76,40630
14,6,0.73,43420
15,5,0.74,45829
16,4,0.89,50933
17,3,0.84,54256
18,2,0.85,54513
19,1,0.82,56681
1,19,0.25,2168
2,18,0.41,4577
